COW,Religiosity_Wave_7,Religiosity_Wave_6,Religiosity_Wave_5,Religiosity_Wave_4,Religiosity_Wave_3,Religiosity_Wave_2,Country,HDI_Wave_2,HDI_Wave_3,HDI_Wave_4,HDI_Wave_5,HDI_Wave_6,HDI_Wave_7,Life_Expectancy_Index_Wave_2,Life_Expectancy_Index_Wave_3,Life_Expectancy_Index_Wave_4,Life_Expectancy_Index_Wave_5,Life_Expectancy_Index_Wave_6,Life_Expectancy_Index_Wave_7,Education_Index_Wave_2,Education_Index_Wave_3,Education_Index_Wave_4,Education_Index_Wave_5,Education_Index_Wave_6,Education_Index_Wave_7,Income_Index_Wave_2,Income_Index_Wave_3,Income_Index_Wave_4,Income_Index_Wave_5,Income_Index_Wave_6,Income_Index_Wave_7,Religiosity_Index_7,Religiosity_Index_6,Religiosity_Index_5,Religiosity_Index_4,Religiosity_Index_3,Religiosity_Index_2
325, , ,1.89563657210858, , , ,Italy,.7898,.81376,.850166667,.8748,.88325,.890142857,.882673846,.900355385,.923138205,.945700615,.960611692,.96765956,.660792393,.710730569,.761857657,.808491461,.824536995,.83105573,36727.96,39767.83,43429.77698,43943.59113,40755.57201,41576.84344, , ,2.89563657210858, , , 
740,.763383982701225,.895666582693879,.852532213247371,.926785402313921,.870781433873605,.809074300523125,Japan,.852,.865,.8805,.8934,.907,.922285714,.913186154,.927813462,.946345641,.961708615,.971795692,.989783516,.771121727,.798206267,.814026715,.832648343,.856965119,.877450421,36381.98,37794.18,38514.73641,39761.73252,39620.48007,42508.54712,1.76338398270123,1.89566658269388,1.85253221324737,1.92678540231392,1.8707814338736,1.80907430052312
663,2.40065168541099,2.5000908977946,2.58837879419059,2.56227258860752, , ,Jordan,.6338,.65336,.688833333,.7264,.72,.721,.773783385,.787235,.803751026,.821052923,.836632615,.850521319,.537277338,.573882415,.620474155,.669999749,.643070851,.635283819,7602.24,8093.35,9301.306231,11495.7843,10639.80983,9956.93923,3.40065168541099,3.5000908977946,3.58837879419059,3.56227258860752, , 
705,1.80435105150205,1.43273177161534, , , , ,Kazakhstan,.6656,.66172,.7,.7536,.78725,.811285714,.682105538,.672604231,.682593077,.709700615,.757345846,.781214286,.627987648,.64950957,.713163878,.799079244,.814903626,.852615833,11496.2,9008.49,12020.62045,16707.27394,19655.8896,22789.43656,2.80435105150205,2.43273177161534, , , , 
501,2.45412146335735, , , , , ,Kenya,.473,.4762,.489,.5304,.5535,.573285714,.574671077,.538925385,.5394,.598185538,.633893231,.651117363,.372099903,.40190091,.432285577,.490758577,.519691417,.535823802,3250.05,3235.13,3169.866332,3375.861123,3414.068834,4183.867325,3.45412146335735, , , , , 
690, ,2.11128509567939, , , , ,Kuwait,.7028,.76376,.788166667,.8032,.822,.832285714,.845372308,.858426154,.873817436,.878133538,.904203385,.909985714,.445991989,.588635443,.609068855,.632539628,.662874576,.704057131,49334.48,75975.78,67296.17071,81640.99956,65968.8019,57433.24762, ,3.11128509567939, , , , 
703,2.03787993732017,1.85042175360112, ,1.71646404753098, , ,Kyrgyzstan,.6184,.60228,.630166667,.6546,.6775,.693714286,.677457846,.684239231,.705353077,.723699385,.753626462,.77455978,.640314738,.637441987,.694761178,.718444953,.732555649,.750786272,3960.31,2649.79,3080.902497,3754.721676,4167.482883,4697.960866,3.03787993732017,2.85042175360112, ,2.71646404753098, , 
367, , , , ,1.26613551681299, ,Latvia,.708,.714,.772166667,.8192,.83825,.862285714,.740215385,.747768077,.774701795,.792312308,.827711692,.843539341,.675476053,.710714313,.814379579,.870779834,.873434236,.901546834,12294.84,10055.11,13932.47509,22251.56113,23025.10621,29544.0075, , , , ,2.26613551681299, 
660,2.03028157988906,1.87219659007464, , , , ,Lebanon, , , ,.75,.7605,.738,.768942769,.807914615,.842101795,.876633538,.901310154,.901549451, , , ,.656781089,.649852913,.613417377,11760.85,14603.24,13738.36208,16069.66984,18014.85566,14105.90477,3.03028157988906,2.87219659007464, , , , 
620,2.51178866779164,2.38486393867904, , , , ,Libya,.6794,.69648,.718,.7388,.70775,.710571429,.771084308,.786853077,.785194359,.799392,.795517538,.803465055,.596502778,.640462883,.682492465,.683458365,.653698704,.637492484,15121.5,14118.81,14340.37648,18611.84485,13825.95178,13164.41638,3.51178866779164,3.38486393867904, , , , 
